date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP,gk_vol_1d,gk_vol_21d
2022-03-30,1027.25,1041.75,1002.25,1015.0,26336,7.736479941294668,5.710004768702257,0.33,287.504,25215.491,0.026296196728761927,0.0330912033337223
2022-03-31,1006.0,1075.0,1003.5,1030.25,36848,5.11243567579355,1.6593750920675052,0.33,287.504,25215.491,0.046361541081588256,0.03127999785740236
2022-04-01,984.5,1032.75,982.5,1007.25,33853,6.012819370850737,0.4744373420359796,0.33,289.109,25805.791,0.032286260376153945,0.030307855059126382
2022-04-04,1010.25,1014.5,984.75,989.5,26349,9.325011727300495,1.461486855233,0.33,289.109,25805.791,0.01662983238800037,0.02722978296092457
2022-04-05,1045.25,1074.0,1020.0,1020.5,26923,10.924564859818975,3.824200983375258,0.33,289.109,25805.791,0.03329866520205106,0.027476797604841667
2022-04-06,1038.25,1056.25,1023.5,1049.5,27905,9.456858703048187,2.7060269031592004,0.33,289.109,25805.791,0.02124042295473617,0.027915209343078357
2022-04-07,1020.0,1044.5,1017.75,1040.25,50501,7.113438849085419,0.9012589582721838,0.33,289.109,25805.791,0.013684307637686946,0.02856684303983036
2022-04-08,1051.5,1054.25,1017.0,1020.0,47599,6.943599667043161,0.5172512038474288,0.33,289.109,25805.791,0.017019341430263665,0.02937728786952933
2022-04-11,1081.25,1091.75,1055.0,1056.0,55247,10.491101973947051,1.3761116051421896,0.33,289.109,25805.791,0.019249353750031232,0.02917198754020045
2022-04-12,1103.75,1117.5,1075.0,1077.75,50433,11.56194064850404,6.160868562554778,0.33,289.109,25805.791,0.02306896182345961,0.030270509531484854
2022-04-13,1113.5,1124.25,1078.0,1102.5,53460,7.35665921092431,2.941001940237717,0.33,289.109,25805.791,0.029056670554042964,0.029888093577207495
2022-04-14,1096.5,1127.5,1094.25,1113.0,20653,5.134703205787433,1.437640710626996,0.33,289.109,25805.791,0.019021998707702204,0.029391973346856472
2022-04-18,1120.5,1134.75,1098.25,1099.25,13169,6.803654624932162,1.302446048685375,0.33,289.109,25805.791,0.01982028719846704,0.028305058854136943
2022-04-19,1099.0,1135.0,1096.0,1123.25,18099,7.407180465329796,0.1614836486506914,0.33,289.109,25805.791,0.020670702403397037,0.027979021738993835
2022-04-20,1088.0,1109.75,1066.75,1094.75,15110,11.575334209392292,1.862131336513028,0.33,289.109,25805.791,0.027677864070520412,0.026929107736377658
2022-04-21,1068.0,1094.25,1052.5,1094.25,11174,12.761981444695545,0.8264391423956186,0.33,289.109,25805.791,0.02299750991452608,0.026037467927435314
2022-04-22,1065.5,1076.0,1052.5,1070.0,15258,15.430862440728404,6.092080337695808,0.33,289.109,25805.791,0.015393178490043307,0.025685849157317316
2022-04-25,1062.0,1080.0,1045.75,1065.75,12075,9.354594885325437,2.36756851227698,0.33,289.109,25805.791,0.022682170559636963,0.02585589517234309
2022-04-26,1083.25,1096.0,1066.75,1069.75,9543,9.45272919093708,0.1715542302066242,0.33,289.109,25805.791,0.017467478224046595,0.02536055617568943
2022-04-27,1080.0,1087.0,1067.75,1081.25,7092,11.605671257636942,0.0616022550947585,0.33,289.109,25805.791,0.012614096466804498,0.02477686794702601
2022-04-28,1074.0,1094.0,1070.0,1082.5,6965,13.175585099355732,0.3282088854945766,0.33,289.109,25805.791,0.01490019073958697,0.02244938241435749
2022-04-29,1043.75,1085.0,1043.75,1071.25,577,13.982841733174553,15.919100868010082,0.33,289.109,25805.791,0.022133887737702685,0.022251177224307046
2022-05-02,1043.5,1050.25,1029.25,1037.5,341,11.895286651119935,8.487710502841193,0.33,292.296,25805.791,0.013825028475185604,0.020701819481145016
2022-05-03,1033.75,1056.0,1033.75,1045.0,177,11.810964031006048,1.614894273072604,0.33,292.296,25805.791,0.013471673494257073,0.01980588677248326
2022-05-04,1066.0,1069.75,1042.25,1042.25,288,12.63049785393537,8.47162827300729,0.33,292.296,25805.791,0.01195881541085822,0.01958345739261935
2022-05-05,1096.0,1096.0,1084.5,1084.5,184,14.758543695923208,8.631465890705769,0.83,292.296,25805.791,0.0035568600134398788,0.018167180955066437
2022-05-06,1097.0,1098.5,1097.0,1098.5,68,15.774330620281294,2.188522738641323,0.83,292.296,25805.791,0.0004607643632450139,0.01717767340309067
2022-05-09,1083.25,1086.0,1081.5,1084.0,92,18.8379854183379,5.315321689725343,0.83,292.296,25805.791,0.002904404215834807,0.016664344668716757
2022-05-10,1083.25,1098.5,1083.25,1096.75,42,19.6445265552875,0.0147715059847695,0.83,292.296,25805.791,0.006201632558503771,0.016149215674823428
2022-05-11,1108.75,1115.0,1100.0,1109.25,53,20.43619643847771,0.5836265735147298,0.83,292.296,25805.791,0.00957311308672259,0.015688442309903967
2022-05-12,1174.5,1174.5,1103.25,1107.75,157,20.60644633898924,2.7139073931948463,0.83,292.296,25805.791,0.025213948202523494,0.015790584518430822
2022-05-13,1167.25,1167.25000001,1167.25,1167.25,35248,19.047139157169973,2.6736498839489027,0.83,292.296,25805.791,6.0578877333136596e-12,0.01440693353995534
2022-05-16,1247.5,1247.5,1222.25,1234.25,53773,18.6949113642726,1.488168900165145,0.83,292.296,25805.791,0.012845908079306622,0.014112833986222217
2022-05-17,1277.5,1284.0,1200.75,1268.0,73671,19.064524593994783,7.807115634185935,0.83,292.296,25805.791,0.04717251384654462,0.015415320969464005
2022-05-18,1230.75,1280.0,1211.5,1278.5,57090,19.650674565026375,3.4065350474409954,0.83,292.296,25805.791,0.030868461665273225,0.01590092855336287
2022-05-19,1200.5,1247.75,1193.5,1222.0,54778,19.22827457949496,1.764887280431748,0.83,292.296,25805.791,0.029432342770721247,0.01598447515813434
2022-05-20,1168.75,1208.0,1168.0,1208.0,40065,17.279892848147306,1.355893505021796,0.83,292.296,25805.791,0.012061086891594882,0.01546369310942333
2022-05-23,1190.0,1196.75,1174.75,1181.75,38143,14.14382175736619,3.4331254487274343,0.83,292.296,25805.791,0.012386801405972906,0.015320532295896168
2022-05-24,1154.75,1208.75,1138.0,1196.0,52749,15.1721121410944,15.458308944387923,0.83,292.296,25805.791,0.03664737077898281,0.015985541830150735
2022-05-25,1148.25,1158.5,1114.5,1154.5,51657,15.705219759500636,9.633383515020144,0.83,292.296,25805.791,0.02717064323756453,0.01644759730698492
