date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP
2012-09-05,845.75,865.0,844.0,864.75,1024,23.168742464549418,0.959105929713487,0.16,231.407,16319.541
2012-09-06,872.0,872.25,846.75,846.75,462,21.8438020207701,0.4420947173349175,0.16,231.407,16319.541
2012-09-07,884.75,890.75,868.5,869.25,412,20.603648587029483,3.195312964081264,0.15,231.407,16319.541
2012-09-10,868.25,891.25,868.25,884.75,394,21.46720723622524,0.0108794969089673,0.15,231.407,16319.541
2012-09-11,860.0,872.25,860.0,869.0,221,21.23875218197835,0.1268553338681766,0.15,231.407,16319.541
2012-09-12,867.0,867.0,849.0,864.0,237,19.30642191039877,3.2176065976636297,0.15,231.407,16319.541
2012-09-13,879.0,879.0,870.25,872.0,56,16.611251210998176,9.592393424981658,0.15,231.407,16319.541
2012-09-14,897.5,906.5,896.5,896.5,75053,17.018884727922117,0.6154244660995558,0.16,231.407,16319.541
2012-09-17,878.0,926.5,876.25,921.5,70757,16.12415310324887,2.477934807232761,0.16,231.407,16319.541
2012-09-18,863.5,888.0,860.75,880.0,65453,15.398493583713666,1.9624090356102448,0.16,231.407,16319.541
2012-09-19,881.5,883.0,865.0,865.0,48758,17.64164176045465,0.0113417833111998,0.15,231.407,16319.541
2012-09-20,879.5,893.75,869.0,882.0,62662,17.463687525806677,0.000262927103261,0.16,231.407,16319.541
2012-09-21,897.25,899.25,879.5,881.75,56734,17.723635429065876,0.7402813666549919,0.15,231.407,16319.541
2012-09-24,892.0,907.25,883.25,897.5,50563,17.53682244537958,0.0132901031749192,0.16,231.407,16319.541
2012-09-25,886.5,898.0,880.75,891.0,41303,18.27935662597056,0.4038842604860527,0.15,231.407,16319.541
2012-09-26,869.25,889.0,866.25,888.0,45398,16.887173713265803,3.5691489232591103,0.15,231.407,16319.541
2012-09-27,855.5,876.0,849.25,871.0,54922,16.91599295824773,1.2057594987440652,0.14,231.407,16319.541
2012-09-28,902.5,907.0,850.75,855.5,114053,17.964237334701593,0.4236389118100787,0.09,231.407,16319.541
2012-10-01,884.25,904.25,872.25,902.0,69680,16.675488633452016,1.1298884459634506,0.15,231.317,16420.419
2012-10-02,871.5,885.0,863.75,884.0,46990,16.62716565813066,0.6621835666378707,0.16,231.317,16420.419
2012-10-03,873.0,878.5,858.0,873.0,48740,14.236300102138523,0.0512940479378823,0.16,231.317,16420.419
2012-10-04,869.25,882.75,866.75,873.0,37882,11.707038074033186,1.8596412806739808,0.15,231.317,16420.419
2012-10-05,857.5,872.75,856.25,870.0,39981,8.832904806123823,0.5352479117580143,0.15,231.317,16420.419
2012-10-08,861.0,867.5,855.0,857.5,30139,9.346375354058118,0.3719464112509912,0.15,231.317,16420.419
2012-10-09,864.25,873.75,859.75,859.75,31444,10.246159746505471,0.1279971828088336,0.16,231.317,16420.419
2012-10-10,869.75,876.75,863.5,864.5,43498,10.567742433099609,0.0790872840097065,0.16,231.317,16420.419
2012-10-11,886.0,894.0,859.0,870.0,80601,11.168081488203024,0.0068563362670337,0.16,231.317,16420.419
2012-10-12,856.75,886.5,853.25,886.25,65032,12.0729192609925,3.0166111743301824,0.16,231.317,16420.419
2012-10-15,848.25,860.25,840.25,860.0,54468,14.62725466453376,0.8629956456739266,0.16,231.317,16420.419
2012-10-16,847.75,857.75,843.75,848.5,42521,16.023593041721256,0.7328411197180011,0.16,231.317,16420.419
2012-10-17,856.25,858.0,845.5,847.75,31938,13.83050797161972,4.802047856461621,0.15,231.317,16420.419
2012-10-18,868.5,876.0,855.5,856.5,47067,11.189498115511366,6.706105655210877,0.15,231.317,16420.419
2012-10-19,872.5,885.5,866.0,868.0,54194,10.823102391894334,0.867365369426855,0.16,231.317,16420.419
2012-10-22,878.25,884.5,871.5,873.0,34062,14.636157431887485,0.5376452399773627,0.15,231.317,16420.419
2012-10-23,868.75,878.5,860.0,878.0,52850,15.573886498126576,0.4756495783242965,0.15,231.317,16420.419
