State code,County code,centroid_lat,centroid_lon,2024 planted area (acres),weight
30,091,48.7218332690203,-104.50485171325688,271.98,4.38951158771714e-06
30,091,48.7218332690203,-104.50485171325688,26508.25,0.0004278192166523379
30,091,48.7218332690203,-104.50485171325688,313844.86,0.005065172621940817
30,091,48.7218332690203,-104.50485171325688,340625.09,0.005497381350180872
30,095,45.67092914142461,-109.39399430579458,0.0,0.0
30,095,45.67092914142461,-109.39399430579458,23646.29,0.0003816297667531433
30,095,45.67092914142461,-109.39399430579458,2165.2,3.4944372710218214e-05
30,095,45.67092914142461,-109.39399430579458,25811.49,0.00041657413946336155
30,097,45.815678118069265,-109.94082796267885,0.0,0.0
30,097,45.815678118069265,-109.94082796267885,269.93,4.3564264389752465e-06
30,099,47.837720816875645,-112.24074389339702,0.0,0.0
30,099,47.837720816875645,-112.24074389339702,112655.83,0.0018181633620446068
30,099,47.837720816875645,-112.24074389339702,23560.25,0.00038024115885180066
30,099,47.837720816875645,-112.24074389339702,10925.11,0.00017632140944953453
30,099,47.837720816875645,-112.24074389339702,147141.19,0.002374725930345942
30,101,48.65676811291024,-111.6966960496741,0.0,0.0
30,101,48.65676811291024,-111.6966960496741,41921.44,0.0006765741843289537
30,101,48.65676811291024,-111.6966960496741,159260.0,0.002570312579821427
30,101,48.65676811291024,-111.6966960496741,29451.29,0.0004753172245320168
30,101,48.65676811291024,-111.6966960496741,230632.73,0.0037222039886823976
30,103,46.21213315228776,-107.27211797962077,0.0,0.0
30,103,46.21213315228776,-107.27211797962077,1986.87,3.2066287551612446e-05
30,103,46.21213315228776,-107.27211797962077,1388.6,2.2410750020972203e-05
30,103,46.21213315228776,-107.27211797962077,3375.47,5.4477037572584645e-05
30,105,48.36881324309985,-106.66680789056814,0.0,0.0
30,105,48.36881324309985,-106.66680789056814,13889.73,0.00022416769904133534
30,105,48.36881324309985,-106.66680789056814,262859.48,0.00424231463122767
30,105,48.36881324309985,-106.66680789056814,50017.79,0.0008072419618979428
30,105,48.36881324309985,-106.66680789056814,326766.9999999999,0.0052737242921669465
30,107,46.46693056021457,-109.8445712024619,0.0,0.0
30,107,46.46693056021457,-109.8445712024619,31633.09,0.0005105295062515596
30,107,46.46693056021457,-109.8445712024619,9146.07,0.00014760931041647217
30,107,46.46693056021457,-109.8445712024619,40779.16,0.0006581388166680318
30,109,46.96668381226428,-104.24895686702429,0.0,0.0
30,109,46.96668381226428,-104.24895686702429,4197.02,6.773611266961023e-05
30,109,46.96668381226428,-104.24895686702429,16794.4,0.0002710464497711476
30,109,46.96668381226428,-104.24895686702429,12283.47,0.0001982441131788214
30,109,46.96668381226428,-104.24895686702429,33274.89,0.0005370266756195793
30,111,45.938747586440776,-108.2736479665534,0.0,0.0
30,111,45.938747586440776,-108.2736479665534,66508.98999999999,0.0010733950374746794
30,111,45.938747586440776,-108.2736479665534,12805.71,0.0002066725951685611
30,111,45.938747586440776,-108.2736479665534,33.92,5.474381684512295e-07
30,111,45.938747586440776,-108.2736479665534,79348.62,0.001280615070811692
31,001,40.52472030823678,-98.50117818108123,0.0,0.0
31,001,40.52472030823678,-98.50117818108123,4069.2,6.56732132978108e-05
31,003,42.17750309754338,-98.06660384970206,0.0,0.0
31,003,42.17750309754338,-98.06660384970206,492.24,7.944309081321733e-06
31,005,41.56927320237985,-101.69589800149478,0.0,0.0
31,005,41.56927320237985,-101.69589800149478,150.0,2.4208645420897528e-06
31,007,41.546162835942255,-103.71103544557286,0.0,0.0
31,007,41.546162835942255,-103.71103544557286,23392.06,0.00037752672413624016
31,007,41.546162835942255,-103.71103544557286,402.5,6.49598652127417e-06
31,007,41.546162835942255,-103.71103544557286,1146.46,1.8502829086161453e-05
31,007,41.546162835942255,-103.71103544557286,24941.02,0.0004025255397436758
31,011,41.70713589329905,-98.0670040533447,0.0,0.0
31,011,41.70713589329905,-98.0670040533447,104.9,1.6929912697681004e-06
31,013,42.22017206956131,-103.08587027732172,0.0,0.0
31,013,42.22017206956131,-103.08587027732172,78763.12,0.0012711656295490681
31,013,42.22017206956131,-103.08587027732172,1066.79,1.721702723237285e-05
31,013,42.22017206956131,-103.08587027732172,1008.13,1.6270307805446284e-05
31,013,42.22017206956131,-103.08587027732172,80838.04,0.0013046529645868873
31,015,42.89975095362439,-98.76618726400493,0.0,0.0
31,015,42.89975095362439,-98.76618726400493,387.33,6.251156420584159e-06
31,017,42.43111568250529,-99.92955467056967,0.0,0.0
31,017,42.43111568250529,-99.92955467056967,300.39,4.848023331988939e-06
31,019,40.85532700075235,-99.0750976438379,0.0,0.0
31,019,40.85532700075235,-99.0750976438379,2325.86,3.7537280025765816e-05
31,019,40.85532700075235,-99.0750976438379,132.76,2.142626510718904e-06
31,019,40.85532700075235,-99.0750976438379,2458.62,3.967990653648472e-05
31,021,41.851755729464514,-96.32861098107092,0.0,0.0
31,021,41.851755729464514,-96.32861098107092,100.39,1.6202039425359352e-06
31,023,41.226244427205664,-97.13154260745603,0.0,0.0
31,023,41.226244427205664,-97.13154260745603,485.97,7.843116943462381e-06
31,023,41.226244427205664,-97.13154260745603,2.98,4.8094508902849755e-08
31,023,41.226244427205664,-97.13154260745603,488.95,7.89121145236523e-06
31,025,40.909884060888004,-96.14067486460709,0.0,0.0
31,025,40.909884060888004,-96.14067486460709,1107.43,1.7872920132309702e-05
31,027,42.599754350731814,-97.25282234341036,0.0,0.0
31,027,42.599754350731814,-97.25282234341036,98.9,1.5961566880845105e-06
31,027,42.599754350731814,-97.25282234341036,64.32,1.0380667156480858e-06
31,027,42.599754350731814,-97.25282234341036,163.22,2.6342234037325963e-06
31,029,40.523935918006515,-101.69793987254181,0.0,0.0
31,029,40.523935918006515,-101.69793987254181,19494.56,0.00031462459378427474
31,029,40.523935918006515,-101.69793987254181,72.64,1.1723440022493309e-06
31,029,40.523935918006515,-101.69793987254181,13780.885,0.00022241103903411028
31,029,40.523935918006515,-101.69793987254181,33348.085,0.0005382079768206343
31,031,42.546638926775834,-101.11861271495425,0.0,0.0
31,031,42.546638926775834,-101.11861271495425,1416.88,2.286716368264086e-05
31,033,41.22005232574389,-102.99492051190127,0.0,0.0
31,033,41.22005232574389,-102.99492051190127,148184.64,0.002391566271055566
31,033,41.22005232574389,-102.99492051190127,1.0,1.6139096947265017e-08
31,033,41.22005232574389,-102.99492051190127,9615.07,0.00015517854688473946
31,033,41.22005232574389,-102.99492051190127,157800.71,0.0025467609570372523
31,035,40.52462022947882,-98.05126283244833,0.0,0.0
31,035,40.52462022947882,-98.05126283244833,1442.99,2.3288555503933947e-05
31,037,41.57427070334117,-97.08633860072301,0.0,0.0
31,037,41.57427070334117,-97.08633860072301,1243.21,2.0064286715809345e-05
31,039,41.91661313777858,-96.78730824316038,0.0,0.0
31,039,41.91661313777858,-96.78730824316038,91.43,1.4755976338884407e-06
31,039,41.91661313777858,-96.78730824316038,64.0,1.032902204624961e-06
31,039,41.91661313777858,-96.78730824316038,155.43,2.5084998385134017e-06
31,041,41.39515645758708,-99.72612045132256,0.0,0.0
31,041,41.39515645758708,-99.72612045132256,1655.58,2.6719566123953017e-05
31,043,42.39119551525464,-96.5646669485075,0.0,0.0
31,043,42.39119551525464,-96.5646669485075,114.4,1.8463126907671182e-06
31,045,42.72069789206111,-103.13543488078994,0.0,0.0
