date,Close,High,Low,Open,Volume,weighted_tavg,weighted_prcp
2001-08-10,271.5,272.25,271.0,271.0,59.0,21.822824154823373,0.9970047154612398
2001-08-11,271.5,272.25,271.0,271.0,59.0,23.196225026753662,1.0638931282982822
2001-08-12,271.5,272.25,271.0,271.0,59.0,23.078756896237422,1.5729380337067433
2001-08-13,271.0,271.0,269.5,270.0,56.0,22.33940314469162,1.1617821289187011
2001-08-14,270.0,272.25,270.0,272.0,87.0,22.93046196467093,1.4137758692024154
2001-08-15,269.0,269.25,268.0,268.75,56.0,22.251478403643304,5.632998772323981
2001-08-16,267.0,267.0,266.25,266.75,33.0,21.714588417111038,0.38090155681643256
2001-08-17,268.0,269.0,267.25,267.25,13.0,22.11530128290456,0.5437843284016006
2001-08-18,268.0,269.0,267.25,267.25,13.0,22.335913015016995,1.282291938032068
2001-08-19,268.0,269.0,267.25,267.25,13.0,22.148759155559638,0.7994704519834563
2001-08-20,264.0,265.0,263.5,265.0,27.0,22.996152995653574,0.07797623456450392
2001-08-21,267.0,267.5,266.0,266.0,59.0,24.59788800654314,1.6798233029689085
2001-08-22,268.5,268.5,267.5,268.0,110.0,23.944701617036486,3.4515791892638394
2001-08-23,271.25,271.75,271.25,271.25,160.0,24.614790638804102,3.9365794049755003
2001-08-24,276.0,276.75,275.25,275.25,110.0,23.707339840756415,2.144022201658297
2001-08-25,276.0,276.75,275.25,275.25,110.0,23.768822056486606,10.763867672755046
2001-08-26,276.0,276.75,275.25,275.25,110.0,23.165479359744857,2.4341366981992145
2001-08-27,272.75,273.0,271.0,271.25,87.0,22.98529919208589,2.9244553702032605
2001-08-28,275.25,275.25,273.5,273.5,6.0,23.175461239087426,0.526832025355455
2001-08-29,270.0,270.0,269.0,270.0,87.0,22.8270296422009,7.340076690656378
2001-08-30,274.25,274.5,274.25,274.5,1.0,21.529261112804566,22.273575162244242
2001-08-31,274.25,274.5,274.25,274.5,1.0,20.071470959835963,13.255733142310278
2001-09-01,274.25,274.5,274.25,274.5,1.0,21.486513536829577,5.29382161767505
2001-09-02,274.25,274.5,274.25,274.5,1.0,22.745056592323543,7.832061347664841
2001-09-03,274.25,274.5,274.25,274.5,1.0,22.430572583574552,0.758936115552449
2001-09-04,277.0,277.0,277.0,277.0,1.0,23.08784094999681,1.4462029835712351
2001-09-05,276.5,277.0,277.0,277.0,1.0,23.749037430731654,3.970367391450611
2001-09-06,274.75,274.75,274.75,274.75,1.0,22.032314914204484,4.551182610467251
2001-09-07,274.75,274.75,274.75,274.75,1.0,19.45307893407371,10.171577780340638
2001-09-08,274.75,274.75,274.75,274.75,1.0,17.64307185788134,2.064191324345833
2001-09-09,274.75,274.75,274.75,274.75,1.0,17.2740204485628,3.1440256322084292
2001-09-10,271.0,271.0,271.0,271.0,1.0,17.729140286948507,0.2132006866413051
